"word","frequency"
"","642"
"-","87"
")","1"
"[?]","4"
"]","1"
"—","5"
"1","3"
"1:","3"
"1]","140"
"10","1"
"100","2"
"101","1"
"102","1"
"103","1"
"104","1"
"105","1"
"106","1"
"107","1"
"108","1"
"109","1"
"11","1"
"110","1"
"111","1"
"112","1"
"113","1"
"114","1"
"115","1"
"116","1"
"117","1"
"118","1"
"119","1"
"12","1"
"120","1"
"121","1"
"122","1"
"123","1"
"124","1"
"125","1"
"126","1"
"127","1"
"128","1"
"129","1"
"13","2"
"130","1"
"131","1"
"132","1"
"133","1"
"134","1"
"135","1"
"136","1"
"137","1"
"138","1"
"139","1"
"14","1"
"140","1"
"15","1"
"16","1"
"17","1"
"18","1"
"19","1"
"1946","1"
"2","4"
"2:","2"
"2]","142"
"2]""","1"
"20","1"
"21","1"
"22","1"
"23","1"
"24","1"
"25","1"
"26","1"
"27","1"
"28","1"
"29","1"
"3","1"
"3:","1"
"3]","66"
"30","1"
"31","2"
"32","1"
"33","1"
"34","1"
"35","2"
"36","1"
"37","1"
"38","2"
"39","1"
"4]","20"
"40","1"
"41","1"
"42","2"
"43","1"
"44","1"
"45","1"
"46","1"
"47","1"
"48","2"
"49","1"
"5","1"
"5]","11"
"5]""","1"
"50","1"
"51","2"
"52","1"
"53","1"
"54","2"
"55","1"
"56","1"
"57","1"
"58","2"
"59","1"
"6","1"
"6]","6"
"60","1"
"61","1"
"62","1"
"63","1"
"64","2"
"65","1"
"66","1"
"67","1"
"68","2"
"69","2"
"7","1"
"7]","3"
"70","1"
"71","1"
"72","1"
"73","1"
"74","1"
"75","2"
"76","1"
"77","1"
"78","1"
"79","2"
"8","1"
"80","1"
"81","1"
"82","1"
"83","2"
"84","1"
"85","1"
"86","2"
"87","1"
"88","1"
"89","2"
"9","1"
"90","1"
"91","1"
"92","1"
"93","2"
"94","1"
"95","1"
"96","1"
"97","1"
"98","1"
"99","1"
"a","253"
"A","26"
"á","22"
"Á","5"
"aaawww","1"
"able","1"
"Aboard","1"
"about","10"
"About","3"
